EPISODE 0: TOTAL REWARD: -240757.0, AVGWAITTIME: 59.17325540932593 
EPISODE 1: TOTAL REWARD: -240846.0, AVGWAITTIME: 58.507167736232084 
EPISODE 2: TOTAL REWARD: -239733.0, AVGWAITTIME: 58.58607792025825 
EPISODE 3: TOTAL REWARD: -239935.0, AVGWAITTIME: 59.351550515412875 
EPISODE 4: TOTAL REWARD: -240373.0, AVGWAITTIME: 59.53926085513935 
EPISODE 5: TOTAL REWARD: -240127.0, AVGWAITTIME: 59.459893687572844 
EPISODE 6: TOTAL REWARD: -239956.0, AVGWAITTIME: 57.85283008805341 
EPISODE 7: TOTAL REWARD: -240098.0, AVGWAITTIME: 59.38452473568593 
EPISODE 8: TOTAL REWARD: -241636.0, AVGWAITTIME: 59.53010097578595 
EPISODE 9: TOTAL REWARD: -239922.0, AVGWAITTIME: 58.10929268753617 
EPISODE 10: TOTAL REWARD: -239936.0, AVGWAITTIME: 60.448598925588755 
EPISODE 11: TOTAL REWARD: -241482.0, AVGWAITTIME: 59.232048711112064 
EPISODE 12: TOTAL REWARD: -240600.0, AVGWAITTIME: 56.55606144104477 
EPISODE 13: TOTAL REWARD: -239174.0, AVGWAITTIME: 59.202980278889044 
EPISODE 14: TOTAL REWARD: -241215.0, AVGWAITTIME: 58.622310288995045 
EPISODE 15: TOTAL REWARD: -240321.0, AVGWAITTIME: 58.70780813969243 
EPISODE 16: TOTAL REWARD: -240742.0, AVGWAITTIME: 59.27457330634398 
EPISODE 17: TOTAL REWARD: -239427.0, AVGWAITTIME: 60.225454071463425 
EPISODE 18: TOTAL REWARD: -239189.0, AVGWAITTIME: 59.29933190655656 
EPISODE 19: TOTAL REWARD: -238765.0, AVGWAITTIME: 59.483725436454414 
EPISODE 20: TOTAL REWARD: -240328.0, AVGWAITTIME: 57.81738508552295 
EPISODE 21: TOTAL REWARD: -240544.0, AVGWAITTIME: 59.23011937990871 
EPISODE 22: TOTAL REWARD: -239706.0, AVGWAITTIME: 59.75499644636643 
EPISODE 23: TOTAL REWARD: -240414.0, AVGWAITTIME: 60.04937755103746 
EPISODE 24: TOTAL REWARD: -240871.0, AVGWAITTIME: 59.4154658054114 
EPISODE 25: TOTAL REWARD: -241143.0, AVGWAITTIME: 60.826148760216945 
