EPISODE 72: TOTAL REWARD: -344476.0, AVGWAITTIME: 85.15334520455087 
EPISODE 73: TOTAL REWARD: -344343.0, AVGWAITTIME: 87.68189196233102 
EPISODE 74: TOTAL REWARD: -344311.0, AVGWAITTIME: 83.73840765129066 
EPISODE 75: TOTAL REWARD: -343963.0, AVGWAITTIME: 85.48476735757559 
EPISODE 76: TOTAL REWARD: -343763.0, AVGWAITTIME: 87.03724043737658 
EPISODE 77: TOTAL REWARD: -344620.0, AVGWAITTIME: 84.62925513086988 
EPISODE 78: TOTAL REWARD: -344284.0, AVGWAITTIME: 85.31480595787015 
EPISODE 79: TOTAL REWARD: -343980.0, AVGWAITTIME: 83.1183633581851 
EPISODE 80: TOTAL REWARD: -344441.0, AVGWAITTIME: 86.12468566106489 
EPISODE 81: TOTAL REWARD: -343949.0, AVGWAITTIME: 84.79930882519325 
EPISODE 82: TOTAL REWARD: -343887.0, AVGWAITTIME: 85.79258512510575 
EPISODE 83: TOTAL REWARD: -343917.0, AVGWAITTIME: 84.11244115860853 
EPISODE 84: TOTAL REWARD: -343935.0, AVGWAITTIME: 86.24769351402902 
EPISODE 85: TOTAL REWARD: -344656.0, AVGWAITTIME: 83.93402466853168 
EPISODE 86: TOTAL REWARD: -344270.0, AVGWAITTIME: 84.50470553688722 
EPISODE 87: TOTAL REWARD: -344323.0, AVGWAITTIME: 84.6730855309393 
EPISODE 88: TOTAL REWARD: -344188.0, AVGWAITTIME: 85.85883674009156 
EPISODE 89: TOTAL REWARD: -344441.0, AVGWAITTIME: 85.40124578746817 
EPISODE 90: TOTAL REWARD: -344030.0, AVGWAITTIME: 84.42355342679933 
EPISODE 91: TOTAL REWARD: -343516.0, AVGWAITTIME: 84.59133380595581 
EPISODE 92: TOTAL REWARD: -344441.0, AVGWAITTIME: 86.31721496377942 
EPISODE 93: TOTAL REWARD: -344279.0, AVGWAITTIME: 85.14123072734964 
EPISODE 94: TOTAL REWARD: -343701.0, AVGWAITTIME: 86.39357243653284 
